time,temperature_2m
2026-06-26 00:00:00+00:00,28.0
2026-06-26 01:00:00+00:00,27.2
2026-06-26 02:00:00+00:00,26.1
2026-06-26 03:00:00+00:00,25.1
2026-06-26 04:00:00+00:00,24.1
2026-06-26 05:00:00+00:00,24.1
2026-06-26 06:00:00+00:00,25.9
2026-06-26 07:00:00+00:00,27.9
2026-06-26 08:00:00+00:00,30.4
2026-06-26 09:00:00+00:00,32.7
2026-06-26 10:00:00+00:00,34.5
2026-06-26 11:00:00+00:00,35.9
2026-06-26 12:00:00+00:00,37.0
2026-06-26 13:00:00+00:00,37.7
2026-06-26 14:00:00+00:00,38.0
2026-06-26 15:00:00+00:00,37.7
